,task,INPUT:dataset_name,OUTPUT:quality,homogenity,true,model_extracted,classification_metric
2101,moral keith morality catholic livesey definition community caltech define imply young goal behavior saying murder,20newsgroups,"['rather_good', 'bad', 'rather_bad', 'bad', 'rather_good']",0.4,0,-1,0.25
2102,moral keith morality definition livesey caltech define community young goal behavior murder imply saying catholic,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,2,1.0
2103,moral livesey animal keith solntze morality goal imply school behavior saying community murder whether ence,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,2,1.0
2104,moral livesey animal solntze keith imply morality ence saying goal whether murder laws community business,20newsgroups,"['bad', 'rather_bad', 'bad', 'good', 'bad']",0.6,-2,2,1.0
2105,moral objective science morality animal keith values scientific humans pain livesey frank behavior south natural,20newsgroups,"['good', 'good', 'bad', 'rather_bad', 'rather_bad']",0.4,0,0,0.5
2106,moral objective science morality animal values keith scientific humans pain livesey behavior south natural frank,20newsgroups,"['rather_good', 'bad', 'rather_bad', 'rather_good', 'rather_bad']",0.4,0,2,1.0
2107,moral objective science morality keith animal frank values scientific humans livesey natural behavior pain south,20newsgroups,"['good', 'good', 'rather_bad', 'bad', 'good']",0.6,2,-2,0.0
2108,moral objective science morality keith animal values scientific frank humans livesey behavior truth natural south,20newsgroups,"['good', 'rather_bad', 'rather_bad', 'good', 'good']",0.6,2,-2,0.0
2109,moral school keith caltech animal morality human livesey definition natural behavior goal humans learning solntze,20newsgroups,"['good', 'rather_good', 'bad', 'rather_bad', 'bad']",0.4,-2,2,1.0
2110,moral school keith caltech animal morality human livesey definition natural behavior humans goal learning solntze,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'rather_good']",0.6,-2,2,1.0
2111,morning breakfast indiv convenient wrap portion control ual afternoon ually deep anytime worry wrapper since,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,0,0.5
2112,morning breakfast indiv convenient wrap portion control ual afternoon ually deep enjoy anytime worry since,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,2,1.0
2113,morning breakfast indiv convenient wrap portion control ual afternoon ually deep worry early since anytime,amazon_food,"['bad', 'bad', 'good']",0.7,-2,1,0.75
2114,morning breakfast indiv convenient wrap portion control ual afternoon ually worry deep early since wake,amazon_food,"['good', 'bad', 'bad']",0.7,-2,-1,0.25
2115,morning breakfast indiv wrap convenient portion control ual afternoon ually deep enjoy lunch every worry,amazon_food,"['bad', 'bad', 'bad', 'bad', 'good', 'good']",0.7,-2,0,0.5
2116,morning breakfast light packet indiv mild convenient pour wrap easily stevia liqu way ual usually,amazon_food,"['rather_bad', 'bad', 'good']",0.3,-1,0,0.5
2117,morning light breakfast packet mild indiv pour convenient wrap easily usually liqu stevia way ual,amazon_food,"['good', 'bad', 'bad']",0.7,-2,-2,0.0
2118,morning light breakfast packet mild indiv pour usually convenient wrap easily liqu way stevia every,amazon_food,"['rather_bad', 'good', 'good', 'bad', 'bad', 'bad']",0.5,-2,0,0.5
2119,morning light breakfast packet mild indiv usually pour convenient easily wrap liqu way stevia every,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1,0,0.5
2120,morning light breakfast packet mild indiv usually pour convenient easily wrap liqu way stevia ual,amazon_food,"['rather_bad', 'rather_good', 'rather_bad']",0.7,-1,-1,0.25
2121,morning light breakfast packet usually mild indiv easily pour convenient wrap liqu way every stevia,amazon_food,"['bad', 'bad', 'good']",0.7,-2,1,0.75
2122,morning light usually breakfast packet mild indiv easily way pour convenient liqu wrap stevia ual,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,-1,0.25
2123,morning usually light breakfast packet easily mild indiv pour convenient liqu wrap stevia ual afternoon,amazon_food,"['rather_bad', 'good', 'rather_bad']",0.7,-1,1,0.75
2124,morning usually light breakfast packet mild easily indiv pour convenient liqu wrap lover warm stevia,amazon_food,"['bad', 'rather_good', 'bad']",0.7,-2,-2,0.0
2125,motherboard appreciate info test type graphics internet upgrade access setup cmos mode experience error anybody,20newsgroups,"['good', 'good', 'good', 'good', 'bad']",0.8,2,-1,0.25
2126,mouse apple robert fast processor move speed slow week clock pretty music microsoft chicago jason,20newsgroups,"['rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.8,-1,-1,0.25
2127,mouse apple robert processor move fast speed week music microsoft slow pretty chicago clock jason,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-2,-1,0.25
2128,mouse apple robert processor move fast speed week slow pretty clock music microsoft chicago jason,20newsgroups,"['rather_bad', 'rather_bad', 'good', 'bad', 'good']",0.4,0,2,1.0
2129,mouse application week robert move speed fast carry processor chicago graphics anyway weapon away distribution,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_good', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'good', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'good', 'bad', 'bad', 'bad', 'good', 'bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'bad', 'rather_bad', 'good', 'bad', 'bad', 'rather_bad', 'bad', 'good', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'good', 'bad', 'good', 'rather_bad', 'rather_bad', 'bad', 'good', 'bad', 'bad', 'rather_good', 'bad', 'bad', 'bad', 'good', 'good', 'bad', 'bad', 'bad', 'bad', 'bad', 'good', 'bad', 'rather_bad', 'bad', 'rather_good', 'rather_good', 'bad', 'bad', 'bad', 'rather_good', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_good', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_good', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad']",0.5,-2,2,1.0
2130,mouse doctor hamburg sean symptom informatik sinus quicktime bontchev movie test virus keyboard typing vesselin,20newsgroups,"['good', 'rather_bad', 'bad', 'bad', 'rather_bad']",0.4,-1,-1,0.25
2131,mouse doctor hamburg sean symptom informatik sinus quicktime bontchev movie virus test keyboard typing vesselin,20newsgroups,"['bad', 'bad', 'rather_bad', 'rather_bad', 'good']",0.4,-1,0,0.5
2132,mouse helmet move carry live week rate andy police figure stuff remember auto robert maybe,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2,-2,0.0
2133,mouse helmet police jason face ticket shooting auto weapon knife revolver rates semi criminal handgun,20newsgroups,"['bad', 'rather_good', 'bad', 'rather_bad', 'good']",0.4,-2,0,0.5
2134,mouse helmet police jason shooting auto weapon knife ticket revolver rates semi criminal face handgun,20newsgroups,"['good', 'good', 'good', 'rather_bad', 'good']",0.8,2,-2,0.0
2135,mouse helmet police jason ticket face shooting auto weapon knife revolver rates semi criminal handgun,20newsgroups,"['good', 'good', 'good', 'good', 'bad']",0.8,2,-2,0.0
2136,mouse helmet police jason ticket face shooting music auto weapon revolver rates knife semi criminal,20newsgroups,"['rather_bad', 'good', 'good', 'bad', 'rather_bad']",0.4,0,2,1.0
2137,mouse move robert processor speed clock chicago week fast motorola microsoft jason slow pretty somebody,20newsgroups,"['rather_good', 'rather_bad', 'bad', 'bad', 'good']",0.4,-2,-2,0.0
2138,mouse move robert week processor chicago speed fast application microsoft anyway carry wait powerpc info,20newsgroups,"['rather_bad', 'rather_bad', 'rather_good', 'good', 'rather_bad']",0.6,-1,-1,0.25
2139,mouse movie informatik typing hamburg sean keyboard move injury break bontchev quicktime motion vesselin wrist,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'bad', 'rather_good']",0.4,-1,-1,0.25
2140,mouse movie informatik typing keyboard move sean hamburg break injury bontchev quicktime motion vesselin supposedly,20newsgroups,"['good', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad']",0.6,-2,-2,0.0
2141,mouse movie typing informatik sean hamburg keyboard move injury bontchev quicktime motion break vesselin info,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,2,1.0
2142,mouse robert apple processor move fast week speed music chicago microsoft pretty slow clock jason,20newsgroups,"['rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad']",1.0,-1,0,0.5
2143,mouse robert processor move apple week fast chicago speed music pretty comp microsoft clock slow,20newsgroups,"['bad', 'rather_good', 'rather_bad', 'bad', 'bad']",0.6,-2,2,1.0
2144,mouse robert week processor move fast speed carry comp application chicago graphics anyway music tool,20newsgroups,"['bad', 'bad', 'good', 'rather_bad', 'bad']",0.6,-2,2,1.0
2145,mouse speed fast move robert clock somebody slow processor performance machine jason pretty intel week,20newsgroups,"['rather_bad', 'bad', 'rather_good', 'good', 'bad']",0.4,-2,0,0.5
2146,mouse speed robert move fast clock processor somebody slow jason chicago pretty intel week motorola,20newsgroups,"['bad', 'bad', 'good', 'rather_good', 'good']",0.4,0,-1,0.25
2147,mouse week move helmet carry fast speed robert police figure auto live semi jason getting,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'good']",0.6,-2,1,0.75
2148,music japanese weaver motorcycle letter flame engineering member denizen onur yalcin membership technology resume bruce,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,2,1.0
2149,music motorcycle letter weaver japanese engineering flame member chuck membership denizen bruce onur yalcin resume,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,-1,0.25
2150,muslim islam algorithm cipher reference islamic text attack message random public method function crypt ripem,20newsgroups,"['good', 'rather_bad', 'rather_bad', 'rather_bad', 'bad']",0.6,-1,-2,0.0
2151,muslim islam algorithm message islamic attack cipher public random reference text method function crypt ripem,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad']",0.6,-1,2,1.0
2152,muslim islam islamic cheer ohio kent sandvik newton upenn gregg jaeger apple magnus rice activity,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,2,1.0
2153,muslim islam islamic cheer ohio kent sandvik newton upenn gregg jaeger magnus apple rice rushdie,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2,-2,0.0
2154,muslim islam text code function reference islamic attack message cipher algorithm public random crypt ripem,20newsgroups,"['good', 'good', 'rather_good', 'bad', 'bad']",0.4,0,1,0.75
2155,muslim null function code text islam output jaeger gregg subject open reference error date char,20newsgroups,"['good', 'bad', 'bad', 'bad', 'bad']",0.8,-2,1,0.75
2156,n't could money juice wrong guess think color bought waste fine throw show picture either,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,0,0.5
2157,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,amazon_food,"['good', 'good', 'good']",1.0,2,-2,0.0
2158,n't money juice color could think guess wrong fine bought waste either throw show picture,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,-1,0.25
2159,n't money juice color guess think wrong fine bought could waste either throw show picture,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
2160,n't money juice color guess wrong could bought think fine waste throw either show picture,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,1,0.75
2161,n't money juice color think fine guess wrong could either bought waste throw show picture,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
2162,n't money juice color think guess wrong could fine bought waste either throw show picture,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
2163,n't think money either juice fine color guess wrong waste could throw show end picture,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
2164,nasa anonymous science earth orbit mission code library image news moon reference access general graphics,20newsgroups,"['bad', 'rather_good', 'good', 'good', 'rather_good']",0.4,1,0,0.5
2165,nasa center image graphics research internet server mike virginia font cancer health send archive news,20newsgroups,"['rather_bad', 'rather_bad', 'rather_bad', 'good', 'rather_good']",0.6,-1,1,0.75
2166,nasa earth anonymous code orbit mission science library moon news access reference graphics command general,20newsgroups,"['rather_good', 'bad', 'good', 'rather_bad', 'good']",0.4,2,1,0.75
2167,nasa earth mission orbit launch moon satellite shuttle lunar probe spacecraft mars flight astronomy solar,20newsgroups,"['good', 'good', 'good', 'bad', 'good']",0.8,2,0,0.5
2168,nasa earth mission orbit moon shuttle satellite lunar flight launch mars probe solar astronomy alaska,20newsgroups,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'rather_good']",0.9,2,1,0.75
2169,nasa earth mission orbit moon shuttle satellite lunar flight launch probe mars solar astronomy planetary,20newsgroups,"['good', 'rather_bad', 'good', 'good', 'good']",0.8,2,1,0.75
2170,nasa earth mission orbit moon shuttle satellite lunar flight launch probe mars solar science astronomy,20newsgroups,"['good', 'good', 'rather_good', 'rather_bad', 'good']",0.6,2,0,0.5
2171,nasa earth mission orbit moon shuttle satellite lunar probe launch mars flight solar planetary surface,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2172,nasa earth mission orbit moon shuttle satellite lunar probe launch mars solar planetary surface telescope,20newsgroups,"['good', 'rather_good', 'good', 'rather_bad', 'good']",0.6,2,-2,0.0
2173,nasa earth orbit mission launch moon satellite shuttle lunar probe spacecraft flight mars rocket solar,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2174,nasa earth orbit mission launch satellite moon shuttle lunar probe flight spacecraft rocket mars solar,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,2,1.0
2175,nasa earth orbit mission launch satellite moon shuttle lunar rocket flight probe spacecraft mars solar,20newsgroups,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'rather_good', 'rather_bad', 'good', 'good', 'good', 'good', 'good', 'good']",0.9,2,-1,0.25
2176,nasa earth orbit mission launch satellite moon shuttle lunar rocket flight spacecraft probe mars solar,20newsgroups,"['good', 'good', 'good', 'rather_good', 'good']",0.8,2,-2,0.0
2177,nasa earth orbit science mission library launch moon code news access reference shuttle general satellite,20newsgroups,"['rather_good', 'good', 'good', 'rather_good', 'good']",0.6,2,0,0.5
2178,nasa launch mission satellite surface maybe friend propulsion probe three season baseball april moon mars,20newsgroups,"['rather_good', 'rather_bad', 'good', 'rather_good', 'good']",0.4,1,-1,0.25
2179,nasa launch mission surface shuttle satellite probe maybe orbiter radar field three propulsion ozone atmosphere,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,2,1.0
2180,nasa launch orbit mission satellite moon earth shuttle rocket lunar flight spacecraft probe mars solar,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,-1,0.25
2181,nasa launch orbit satellite mission moon earth shuttle rocket lunar flight spacecraft probe mars solar,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2182,nasa mission earth orbit launch moon shuttle lunar satellite probe spacecraft absolute mars image science,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,-1,0.25
2183,nasa mission earth orbit moon shuttle lunar satellite probe launch mars solar planetary telescope surface,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,0,0.5
2184,nasa mission launch surface shuttle radar detector atmosphere field orbiter probe april ozone three pasadena,20newsgroups,"['rather_bad', 'good', 'bad', 'good', 'good']",0.6,2,1,0.75
2185,nasa orbit earth moon satellite lunar mission spacecraft solar shuttle project development mars probe planetary,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2186,nasa orbit earth satellite moon lunar mission shuttle spacecraft solar mars planetary flight astronomy project,20newsgroups,"['good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good', 'good']",1.0,2,2,1.0
2187,nasa orbit earth satellite moon mission lunar shuttle spacecraft solar mars planetary flight astronomy telescope,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,-1,0.25
2188,nasa orbit launch mission satellite moon earth shuttle rocket lunar flight probe spacecraft mars solar,20newsgroups,"['good', 'good', 'good', 'rather_bad', 'good']",0.8,2,2,1.0
2189,nasa orbit satellite earth moon lunar mission spacecraft shuttle solar mars planetary astronomy development project,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2190,nasa radar command detector antenna ball baalke loss surface vnews kelvin spacecraft april atmosphere galileo,20newsgroups,"['bad', 'good', 'good', 'rather_bad', 'rather_bad']",0.4,0,1,0.75
2191,nasa radar detector command ball antenna baalke loss surface vnews kelvin spacecraft april atmosphere galileo,20newsgroups,"['good', 'rather_good', 'bad', 'good', 'good', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad']",0.4,-2,2,1.0
2192,nasa radar surface detector ball command antenna atmosphere baalke loss vnews april kelvin spacecraft field,20newsgroups,"['good', 'rather_good', 'bad', 'good', 'good']",0.6,2,1,0.75
2193,nasa radar surface detector mission ball launch atmosphere field shuttle antenna april probe baalke kelvin,20newsgroups,"['good', 'rather_bad', 'good', 'good', 'good']",0.8,2,-1,0.25
2194,nasa research center science launch earth satellite internet orbit national mission anonymous project address april,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,-2,0.0
2195,nasa research launch center science earth satellite orbit mission project national technology moon april general,20newsgroups,"['good', 'rather_good', 'good', 'good', 'rather_good']",0.6,2,2,1.0
2196,nasa research science center launch earth satellite internet orbit national mission anonymous project address april,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,0,0.5
2197,nasa research science center launch earth satellite orbit anonymous mission internet national news general project,20newsgroups,"['rather_good', 'good', 'good', 'good', 'good']",0.8,2,-2,0.0
2198,nasa research science center launch earth satellite orbit internet national mission anonymous project april address,20newsgroups,"['rather_bad', 'good', 'rather_good', 'rather_good', 'good']",0.4,1,0,0.5
2199,nasa saturn fool liar crazy gsfc lawrence lunatic dealer originator advertising dealy marketing billboard gather,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,1,0.75
2200,nasa science anonymous earth orbit image mission news library research moon reference code center satellite,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,-2,0.0
2201,nasa science anonymous earth orbit mission image library code news moon reference general access research,20newsgroups,"['rather_good', 'good', 'good', 'bad', 'good']",0.6,2,1,0.75
2202,nasa science earth anonymous orbit image mission research center news moon satellite reference library launch,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,1,0.75
2203,nasa science earth anonymous research orbit center image mission news satellite moon launch reference contact,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,2,1.0
2204,nasa science earth orbit mission launch library moon satellite news reference image shuttle access general,20newsgroups,"['good', 'rather_good', 'good', 'good', 'good']",0.8,2,0,0.5
2205,nasa science launch earth orbit research satellite mission center moon image reference contact news general,20newsgroups,"['good', 'good', 'good', 'rather_good', 'good']",0.8,2,-1,0.25
2206,nasa science research center earth anonymous orbit launch satellite mission news image contact moon reference,20newsgroups,"['rather_good', 'good', 'good', 'good', 'good']",0.8,2,2,1.0
2207,nasa science research center earth anonymous orbit mission satellite launch image news contact moon reference,20newsgroups,"['good', 'good', 'good', 'good', 'good', 'good', 'rather_good', 'good', 'good', 'good']",0.9,2,2,1.0
2208,nasa science research center earth launch anonymous satellite orbit mission news internet contact general moon,20newsgroups,"['good', 'good', 'good', 'good', 'good']",1.0,2,0,0.5
2209,nasa science research earth center anonymous orbit mission image satellite news launch moon reference contact,20newsgroups,"['good', 'rather_bad', 'good', 'good', 'good']",0.8,2,2,1.0
2210,nasa shuttle launch catcher lopez spring april atmosphere ozone flight major centaur training titan crew,20newsgroups,"['bad', 'rather_bad', 'good', 'bad', 'good']",0.4,0,0,0.5
2211,natural list contains ingredient raw berry book usa herb gross report root aloe health passion,amazon_food,"['good', 'bad', 'bad']",0.7,-2,2,1.0
2212,natural list contains raw berry book usa herb gross site ingredient root report aloe question,amazon_food,"['good', 'rather_good', 'bad']",0.3,1,-2,0.0
2213,natural list contains raw berry ingredient book usa herb gross report root aloe passion question,amazon_food,"['bad', 'bad', 'good']",0.7,-2,0,0.5
2214,natural list contains raw berry site book gross usa herb root report aloe question web,amazon_food,"['bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_good']",0.6,-2,-1,0.25
2215,natural list ingredient contains raw berry usa book herb gross health report aloe fruit root,amazon_food,"['good', 'good', 'good']",1.0,2,2,1.0
2216,natural list ingredient contains raw berry usa book herb gross report health aloe root passion,amazon_food,"['good', 'rather_bad', 'good', 'rather_bad', 'bad', 'bad', 'bad', 'good', 'bad']",0.4,-2,-2,0.0
2217,natural real expensive fact syrup wheat leaf care artificial sweetener pleased flour chemical loose matter,amazon_food,"['bad', 'good', 'bad']",0.7,-2,-1,0.25
2218,nazi history party german germany anti page ticket smith hitler publish political document holocaust historical,20newsgroups,"['good', 'bad', 'rather_good', 'rather_good', 'good']",0.4,1,2,1.0
2219,nazi muslim party found faith proof become ence ticket live criminal quite crime publish others,20newsgroups,"['rather_bad', 'rather_good', 'bad', 'good', 'good']",0.4,2,2,1.0
2220,nazi party hitler ticket faith muslim ence found publish milwaukee become rubber history homosexual criminal,20newsgroups,"['rather_bad', 'rather_bad', 'rather_bad', 'good', 'rather_bad']",0.8,-1,1,0.75
2221,nazi party hitler ticket history publish germany page ence german quote milwaukee holocaust faith prove,20newsgroups,"['good', 'rather_good', 'good', 'good', 'bad']",0.6,2,2,1.0
2222,nazi party hitler ticket history publish germany page german quote ence holocaust milwaukee prove torture,20newsgroups,"['good', 'good', 'rather_good', 'rather_bad', 'bad']",0.4,2,-1,0.25
2223,nazi party muslim found faith ticket ence become criminal hitler quite publish live crime christ,20newsgroups,"['bad', 'bad', 'rather_good', 'good', 'rather_good']",0.4,0,-1,0.25
2224,nazi party muslim proof faith hitler ticket found ence publish become dead islam resurrection quote,20newsgroups,"['bad', 'bad', 'rather_bad', 'good', 'good']",0.4,0,-2,0.0
2225,nazi party proof muslim hitler ticket faith ence publish found dead history quote islam resurrection,20newsgroups,"['bad', 'bad', 'rather_good', 'good', 'rather_good']",0.4,0,1,0.75
2226,nazi party proof muslim hitler ticket faith publish ence dead found history quote islam resurrection,20newsgroups,"['good', 'rather_good', 'rather_bad', 'bad', 'bad']",0.4,-2,-2,0.0
2227,need clean result cheap vet basically still issue seem breath greenies pet high digestive dental,amazon_food,"['good', 'bad', 'bad', 'bad', 'good', 'good']",0.5,0,-2,0.0
2228,need keep clean seem hand teeth around longer high vet help still basically issue pet,amazon_food,"['bad', 'bad', 'bad', 'bad', 'rather_good', 'rather_good', 'bad', 'bad', 'bad']",0.8,-2,2,1.0
2229,need keep hand around teeth clean longer basically breath greenies issue digestive tummy seem dental,amazon_food,"['good', 'bad', 'good']",0.7,2,-2,0.0
2230,need keep hand around teeth clean longer breath basically greenies tummy digestive dental issue leak,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,0,0.5
2231,need keep hand clean around teeth seem longer high basically issue breath greenies vet help,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,1,0.75
2232,need keep hand clean teeth around seem longer high basically issue breath vet greenies help,amazon_food,"['good', 'bad', 'rather_good']",0.3,0,2,1.0
2233,need keep hand teeth clean around longer seem basically issue breath greenies high digestive tummy,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1,0,0.5
2234,need keep seem worth still hand container around clean result cheap teeth see thing basically,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
2235,need keep seem worth still hand container around clean result cheap teeth thing see basically,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,1,0.75
2236,need keep seem worth still hand container teeth clean around cheap result thing every basically,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
2237,need mix could keep lot less problem diet hand clean easily ball figure leave mess,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-1,0.25
2238,need mix lot less problem diet clean switch ball coat kibble plus spoon puppy crystal,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,2,1.0
2239,need mix lot less problem diet keep clean switch ball plus puppy kibble spoon coat,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,0,0.5
2240,need result clean cheap basically breath greenies concerned major trust tummy pet space finicky dental,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,1,0.75
2241,need result clean cheap basically breath greenies major pet tummy concerned trust finicky dental space,amazon_food,"['bad', 'bad', 'good']",0.7,-2,2,1.0
2242,need result clean cheap basically vet breath greenies issue pet digestive tummy dental still dog's,amazon_food,"['bad', 'rather_good', 'rather_bad']",0.3,0,-2,0.0
2243,need result clean cheap vet basically breath issue greenies pet still digestive tummy dental junk,amazon_food,"['bad', 'rather_bad', 'rather_good']",0.3,-1,1,0.75
2244,need still clean cheap basically breath greenies tummy dental leak space junk trust dog's they'll,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
2245,need still keep seem worth around hand container clean result cheap basically see teeth breath,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1,1,0.75
2246,never ever far sell bread version hop unfortunately truly simply pancake toast gluten-free unlike mill,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1,1,0.75
2247,never ever local piece grocery sell deal wish carry market expensive glad gum online hop,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2,2,1.0
2248,new money juice case waste wrong show let guess drop picture either throw color fine,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
2249,new variety however part point state within complaint easier pumpkin avo perhaps animal create front,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,-1,0.25
2250,news anonymous email service message internet usenet colorado conference network member vote user electronic address,20newsgroups,"['rather_good', 'rather_good', 'rather_bad', 'good', 'good']",0.4,1,2,1.0
2251,news anonymous service usenet internet network email electronic privacy conference public user message congress site,20newsgroups,"['bad', 'good', 'rather_good', 'good', 'bad']",0.4,0,1,0.75
2252,news anonymous service usenet network internet email electronic privacy message user public conference site congress,20newsgroups,"['rather_bad', 'bad', 'bad', 'good', 'bad']",0.6,-2,-1,0.25
2253,news anonymous service usenet network privacy electronic internet email site public user server congress archive,20newsgroups,"['good', 'good', 'rather_good', 'good', 'good']",0.8,2,0,0.5
2254,news email anonymous service usenet message internet network newsgroup colorado electronic conference member discussion user,20newsgroups,"['good', 'bad', 'good', 'rather_bad', 'good']",0.6,2,-2,0.0
2255,news email anonymous service usenet message network internet colorado newsgroup conference electronic member user discussion,20newsgroups,"['good', 'good', 'good', 'rather_good', 'good']",0.8,2,-2,0.0
2256,news email anonymous service usenet message network internet newsgroup discussion electronic colorado member conference user,20newsgroups,"['bad', 'good', 'rather_bad', 'good', 'rather_good']",0.4,2,0,0.5
2257,news email usenet anonymous message service network discussion internet newsgroup user electronic member colorado technical,20newsgroups,"['rather_good', 'good', 'rather_good', 'good', 'rather_good']",0.6,1,0,0.5
2258,news service anonymous usenet network electronic email privacy internet reader public user message discussion site,20newsgroups,"['rather_bad', 'bad', 'bad', 'good', 'good']",0.4,0,0,0.5
2259,news usenet email anonymous message service network discussion internet newsgroup user electronic member technical colorado,20newsgroups,"['rather_bad', 'good', 'good', 'rather_good', 'rather_good']",0.4,1,1,0.75
2260,newspaper begin sport oracle soldier massacre joel jayne hole yassin fill weekend jewish father stein,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,-1,0.25
2261,newspaper eric sport begin oracle weekend soldier massacre joel jayne hole fill yassin stein girl,20newsgroups,"['rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad']",0.6,-1,0,0.5
