,task,true,model,model_extracted,classification_metric
1941,love court hate property francisco anti park choose leather inner charge arens laws money loud,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1942,love court hate property francisco charge anti dangerous police leather inner park arens gerard head,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1943,love cwru uiuc thought frank guess sorry wrong keith hell mine nothing uucp objective homosexual,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1944,love cwru uiuc thought frank hell keith sorry guess mine wrong nothing objective uucp homosexual,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1945,love cwru uiuc thought frank sorry guess hell keith wrong mine nothing objective uucp homosexual,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1946,love drug bike laws free court money design choose engine cost head property feel pretty,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1947,love drug court laws property choose police park money head sell wagon ryan plaintiff anti,0,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1948,love drug court money choose property berkeley laws hate francisco anti prize head cheap pretty,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1949,love drug court property laws park police choose francisco money wagon anti head hate berkeley,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1950,love drug laws bike court engine design sell choose head plaintiff property money police kind,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1951,love drug laws bike free engine choose money court design property head sell feel kind,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1952,love hell quote feel brian stup evil sorry learn choose accept death fear live context,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
1953,love hell quote feel stup brian evil live learn accept sorry death choose context maybe,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
1954,love hell quote feel stup brian evil sorry learn choose fear accept death live maybe,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1955,love hell quote feel stup sorry brian evil learn fear choose accept ever live everyone,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1956,love hell quote feel stup sorry brian learn evil fear choose accept ever live everyone,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1957,love hell uiuc thought frank objective keith mine ever sorry guess uucp nothing wrong james,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1958,love uiuc cwru thought guess wrong sorry frank keith hell nothing mine uucp objective homosexual,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1959,love uiuc cwru thought hell frank keith guess sorry mine nothing objective wrong uucp ever,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1960,love uiuc cwru thought wrong guess sorry frank keith nothing hell mine uucp objective homosexual,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1961,love uiuc hell thought frank cwru keith mine sorry objective guess nothing uucp ever wrong,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1962,love uiuc hell thought frank keith objective mine sorry guess nothing ever uucp cwru wrong,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1963,love uiuc thought hell cwru frank keith guess mine sorry objective nothing wrong uucp ever,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1964,machine cwru card xfree cleveland comment anonymous code freenet driver report looking cause robert check,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1965,machine cwru comment freenet dept cleveland math contact tony programmer previous comp type xfree general,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1966,machine cwru comment xfree cleveland freenet math contact anonymous type report code robert looking card,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1967,machine cwru math cleveland freenet comment comp contact programmer type tony xfree netcom virtual numbers,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1968,machine math card comment cwru numbers anonymous driver xfree cleveland cause report code freenet looking,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1969,machine math cwru comment cleveland freenet xfree contact numbers type comp virtual programmer commercial robert,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1970,magnesium diamond oil blue bowel rda body olive blood energy tolerance source nutrient allowance dietary,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1971,magnesium diamond oil blue bowel rda body olive blood energy tolerance source nutrient allowance take,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
1972,magnesium oil olive energy diamond bowel blue rda body blood almond tolerance skin allowance source,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1973,main hell motto eternal detail alaska mydisplay gene atheist death germany acad limit nsmca medium,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
1974,many different hot available others salad name creamy dress choose curry way paste superior although,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1975,many different others keurig k-cups name brewer creamy standard curry experiment k-cup paste folgers assortment,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1976,many hot different available others gift salad name suggest filter choose dress totally standard include,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1977,many hot different available others gift salad name suggest filter totally choose dress include standard,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1978,many hot different others gift salad name filter kind suggest creamy dress choose perfect way,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1979,mark care choose days couple marriage free poor parent heart already wilson writing child speech,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1980,mark care couple insurance marriage married coverage rent abortion poor speech wilson marry clinic free,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
1981,mark care couple marriage poor married live speech rent abortion coverage child free damn wilson,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
1982,mark care insurance business ohio marriage child parent greg married health magnus couple school money,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
1983,mark care insurance business ohio marriage parent child school greg married couple money magnus prince,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1984,mark care insurance business ohio marriage parent greg child married health magnus gainey prince couple,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1985,mark couple care marriage married poor coverage rent speech abortion wilson marry free parent clinic,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
1986,market brown mean coat turn suppose dollar nicely cook folk worse finger rather awful awhile,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1987,market difference pasta mean noodle stomach soda hold sour coat brown awful upset nicely folk,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1988,market difference pasta stomach mean brown hold soda sour coat compare cook upset nicely folk,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1989,market mean sometimes difference pasta stomach hold sour brown coat awful upset folk nicely suppose,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1990,market pasta difference noodle stomach brown hold cook sour mean soda coat upset nicely folk,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1991,market pasta difference stomach brown mean hold sour cook soda coat upset folk nicely finger,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1992,market pasta difference stomach brown mean hold sour soda cook coat upset folk nicely finger,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1993,market pasta difference stomach noodle brown hold mean sour cook soda coat upset nicely folk,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1994,market tell turn difference cook pasta brown stomach soda hold mean suppose sour coat nicely,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1995,market tell turn difference mean cook pasta brown stomach soda hold suppose sour coat kitchen,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1996,market turn mean brown suppose coat rather dollar nicely awful folk worse finger awhile staple,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1997,market turn mean rather brown suppose coat dollar awful nicely finger worse folk staple awhile,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
1998,market turn mean rather suppose yes coat brown dollar awful nicely finger worse folk staple,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1999,marriage care couple married public gainey child ever business administration release technology congress kind live,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2000,marriage care married business couple insurance public health child gainey prince congress ever poor package,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2001,matcha subscription dent movie ginger sour compliment link's yogi leaf yorkshire bagel echinacea lemon annie,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2002,maybe else thought feel everyone ever sorry mind hope quote kind reading stup agree always,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2003,meal content ginger contain dinner sprinkle cooked fairly thai snap they've stew palm dozen specifically,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2004,medium tank ticket buffalo hitler white fire black liberal limbaugh dean irvine electric away ncsu,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2005,medium tank ticket buffalo liberal limbaugh fire dean white electric irvine hitler black shit stove,-2,  No.</s>,-2,0.0
2006,medium tank ticket buffalo liberal limbaugh fire dean white electric irvine shit black hitler stove,-2,  No.</s>,-2,0.0
2007,medium tank ticket hitler buffalo fire white limbaugh black liberal dean ncsu nazi electric irvine,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2008,medium west bank joke israeli suck bias palestinian israel report territory anas orion mitre event,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2009,medium west bank joke suck bias israeli palestinian israel report territory orion anas mitre event,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2010,message apple colorado simms receive sent record simm account arthur toshiba thought uchicago teel configuration,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2011,message apple colorado simms record simm thought arthur toshiba getting receive account wonder sent teel,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2012,michael child koresh judge phil rutgers witness tear branch trial rock cult ians ence kaldis,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2013,michael child koresh phil judge rutgers trial witness rock ence radio kaldis georgia ians associate,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2014,michael radio rutgers rock intelligence view associate amateur kaldis georgia covington broadcast mcovingt record central,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2015,michael radio view rutgers associate rock intelligence reflect amateur kaldis georgia covington broadcast express mcovingt,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2016,might drinking aftertaste mild espresso beverage straight weird sound sip latte guest appeal however pleasant,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2017,mike clinton class charles movie supposedly gonna sean frame dont quicktime success raise deficit unknown,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2018,mike clinton class proper batf charles regard raise unknown dont within success bush bill separate,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2019,mike clinton class proper charles batf success regard unknown raise dont bill within bush fear,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2020,mike clinton class proper charles batf success regard unknown raise dont within separate bill bush,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2021,mike cwru freenet cleveland previous canada stephen joke ryan stand student funny story tony wave,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2022,militia request arms amendment address bear send constitution regulate shall free organize receive form cache,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2023,militia request arms amendment bear send address constitution regulate shall organize free text sentence infringe,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2024,milk diet n't stomach soy start shake substitute something sensitive without nasty upset dissolve zero,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2025,milk n't diet start stomach soy substitute shake sensitive nasty upset without something dissolve zero,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2026,milk n't diet start stomach soy substitute shake something sensitive without nasty upset dissolve usually,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2027,milk n't diet stomach start soy substitute shake something sensitive without nasty upset dissolve zero,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2028,milk n't start diet stomach soy substitute shake sensitive nasty upset dissolve usually zero allergic,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2029,milk n't start diet stomach soy substitute shake sensitive nasty upset dissolve zero allergic usually,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2030,mind pot total roll rating flower often classic g<br illy whole cholesterol despite enough delight,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2031,mind starbucks total especially instant roll often via decent flower set classic grape illy mocha,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2032,mind starbucks total especially instant roll often via decent set flower classic grape illy mocha,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2033,mine option uunet station cramer clayton optilink consent oracle relations module sexual homosexual orientation mutual,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2034,mine option uunet station cramer clayton optilink consent oracle relations module sexual orientation homosexual pyram,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2035,mine option uunet station cramer clayton optilink consent sexual oracle homosexual relations module orientation pyram,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2036,mine station uunet cramer option clayton optilink homosexual consent service oracle phone relations module pyram,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2037,minute hour people energy cheese husband everyone shot point pizza boost caffeine bake crust sleep,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2038,mio dental lollipop wing sriracha apple peach vietnamese healthful sauce tootsie candy nutritional kale article,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2039,mission nasa earth orbit shuttle absolute lunar moon probe mars satellite launch solar planetary telescope,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2040,mix cream ice pour strawberry pancake baking waffle muffin pomegranate pan stir frozen whip grainy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2041,mix cream ice pour strawberry pancake waffle stir muffin pomegranate frozen whip grainy instead lollipop,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2042,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2043,mix cream ice strawberry pour pancake waffle muffin recipe pomegranate frozen grainy lollipop margarita fluffy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2044,mix cream ice strawberry pour pancake waffle pomegranate muffin recipe frozen grainy lollipop margarita fluffy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2045,mix cream ice strawberry pour pancake waffle pomegranate recipe muffin frozen margarita lollipop baking fluffy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2046,mix ice cream strawberry pour pancake waffle pomegranate recipe muffin baking margarita milk fluffy lollipop,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2047,mix less problem cheaper diet pay need clean lot house switch rest leave ball puppy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2048,mix less problem diet cheaper need house pay clean rest lot switch plus kibble ball,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2049,mix less problem diet cheaper pay need clean house lot rest switch ball leave puppy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2050,mix less problem diet cheaper pay need clean switch lot rest house ball leave puppy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2051,mix less problem diet clean switch ball kibble coat spoon convenience leave crystal waffle vet,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2052,mix less problem diet clean switch ball kibble leave spoon convenience puppy crystal waffle rest,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2053,mix less problem diet clean switch coat vet crazy ball feed kibble leave wellness spoon,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2054,mix less problem pay leave ball place lot convenience crystal waffle scoop fancy remove litter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2055,mix less problem pay leave lot ball place convenience crystal waffle scoop fancy remove except,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2056,mix less problem pay place leave except lot convenience ball crystal remove waffle scoop fancy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2057,mix lot less problem pay leave place except kept convenience crystal waffle remove fancy scoop,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2058,mix need less problem diet cheaper pay lot clean house rest switch leave ball puppy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2059,mix pay easily ball except convenience crystal scoop waffle lab fancy measure min unpleasant litter,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2060,mix problem less pay leave lot ball place convenience crystal waffle scoop fancy remove litter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2061,mix problem pay leave ball crystal kept except heavy waffle batch sent scoop fancy litter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2062,mix problem pay leave ball except kept crystal heavy waffle batch fancy scoop litter skeptical,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2063,mix problem pay leave ball sent crystal batch waffle never less could scoop litter light,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2064,mix problem pay leave ball sent crystal batch waffle never scoop could heavy litter light,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2065,mix problem pay leave ball sent crystal waffle batch never less could scoop litter heavy,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2066,mix sauce cheese recipe bread spicy pepper cook season cake chicken meal salad bake egg,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2067,mix sauce cheese recipe bread spicy pepper cook season cake meal chicken salad bake egg,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2068,mix sauce easy cheese recipe bread spicy pepper cook season cake chicken meal salad bake,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2069,mix sauce easy hot cheese recipe bread spicy pepper cook chicken season cake salad meal,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2070,model engine lock band rocket exhaust door cylinder bottom motor tune wagon loud steal liter,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2071,model engine lock radar band detector motor exhaust rocket steal door sport wagon foot tune,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2072,modem bill port serial stratus distribution connect packet special company rocket several baud interrupt news,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2073,modem bill stratus company batf serial port distribution fire scott packet compound bell connect talk,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2074,modem bill stratus company serial port batf packet fire distribution connect news talk block bell,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2075,modem port serial bill stratus connect distribution packet company block baud rocket next news several,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2076,modem port serial stratus bill connect block packet company distribution baud news next rocket plain,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2077,money company spend insurance happy costs cost private fund proposal perry canadian health magazine free,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2078,money spend gary columbia costs health market care happy dare private ucsc country canadian canada,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2079,money spend gary columbia costs market health happy care dare private ucsc perry canadian canada,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2080,money value bulk difficult okay quantity msg bacon number unique what's jasmine spent glutamate monosodium,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2081,money value bulk difficult okay quantity msg bacon what's glutamate monosodium con number although spent,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2082,monitor apple port board serial simms price chip motherboard upgrade slot plug supply cable purchase,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2083,monitor card memory machine screen mode colors apple color fast driver speed cards clock resolution,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2084,monitor card mode memory screen machine fast cards speed apple clock color hardware colors cache,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2085,monitor copy offer sale machine running xterm client price beck andre sell upgrade following looking,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2086,monitor memory card mode screen machine apple fast colors speed cards color clock resolution driver,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2087,monitor nick gainey keyboard timer colors always military section attack range maynard forward cards apple,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2088,monitor price board apple port simms sell slot shipping purchase chip adapter plug sony cards,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2089,monitor speed card fast mode cards machine memory clock hardware processor upgrade cache color slow,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2090,monitor speed fast card mode cards hardware machine memory upgrade clock processor slow performance cache,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2091,monitor speed fast card mode cards upgrade hardware memory clock machine processor slow performance cache,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2092,month size highly start baby quickly glad daughter son thanks every perfect since supply night,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2093,moral argument keith ence imply whether livesey conclusion saying catholic professor fallacy definition sense discussion,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2094,moral catholic livesey keith imply morality professor animal community solntze saying goal whether murder species,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
2095,moral keith animal livesey morality goal solntze imply behavior school community murder saying whether talking,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2096,moral keith animal morality livesey goal behavior school imply solntze caltech community murder natural talking,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2097,moral keith caltech define morality definition animal human natural livesey action goal murder behavior wrong,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2098,moral keith caltech school animal morality livesey goal behavior definition natural community humans solntze learning,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2099,moral keith catholic morality livesey imply community goal saying whether young define murder animal definition,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2100,moral keith define morality definition caltech livesey goal animal behavior murder school young human talking,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2101,moral keith morality catholic livesey definition community caltech define imply young goal behavior saying murder,0,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
2102,moral keith morality definition livesey caltech define community young goal behavior murder imply saying catholic,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2103,moral livesey animal keith solntze morality goal imply school behavior saying community murder whether ence,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2104,moral livesey animal solntze keith imply morality ence saying goal whether murder laws community business,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2105,moral objective science morality animal keith values scientific humans pain livesey frank behavior south natural,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2106,moral objective science morality animal values keith scientific humans pain livesey behavior south natural frank,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2107,moral objective science morality keith animal frank values scientific humans livesey natural behavior pain south,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2108,moral objective science morality keith animal values scientific frank humans livesey behavior truth natural south,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2109,moral school keith caltech animal morality human livesey definition natural behavior goal humans learning solntze,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2110,moral school keith caltech animal morality human livesey definition natural behavior humans goal learning solntze,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2111,morning breakfast indiv convenient wrap portion control ual afternoon ually deep anytime worry wrapper since,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2112,morning breakfast indiv convenient wrap portion control ual afternoon ually deep enjoy anytime worry since,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2113,morning breakfast indiv convenient wrap portion control ual afternoon ually deep worry early since anytime,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2114,morning breakfast indiv convenient wrap portion control ual afternoon ually worry deep early since wake,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2115,morning breakfast indiv wrap convenient portion control ual afternoon ually deep enjoy lunch every worry,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2116,morning breakfast light packet indiv mild convenient pour wrap easily stevia liqu way ual usually,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2117,morning light breakfast packet mild indiv pour convenient wrap easily usually liqu stevia way ual,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2118,morning light breakfast packet mild indiv pour usually convenient wrap easily liqu way stevia every,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2119,morning light breakfast packet mild indiv usually pour convenient easily wrap liqu way stevia every,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2120,morning light breakfast packet mild indiv usually pour convenient easily wrap liqu way stevia ual,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2121,morning light breakfast packet usually mild indiv easily pour convenient wrap liqu way every stevia,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2122,morning light usually breakfast packet mild indiv easily way pour convenient liqu wrap stevia ual,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
